cycle: 49; nbPreys: 11; minEnergyPreys: 0.1245816993464052; maxSizePreys: 0.7504999999999998; minAgePrey: 1.2; maxAgePrey: 10.799999999999994; nbPredators: 44; minEnergyPredators: 0.23649999999999974; maxSizePredators: 1.0; minAgePredators: 1.2; maxAgePredators: 10.799999999999994
cycle: 50; nbPreys: 10; minEnergyPreys: 0.1620816993464052; maxSizePreys: 0.7989999999999998; minAgePrey: 1.4; maxAgePrey: 10.999999999999993; nbPredators: 46; minEnergyPredators: 0.19649999999999973; maxSizePredators: 1.0; minAgePredators: 1.0; maxAgePredators: 10.999999999999993
cycle: 51; nbPreys: 9; minEnergyPreys: 0.19908169934640518; maxSizePreys: 0.8469999999999998; minAgePrey: 1.5999999999999999; maxAgePrey: 11.199999999999992; nbPredators: 46; minEnergyPredators: 0.15599999999999972; maxSizePredators: 1.0; minAgePredators: 1.2; maxAgePredators: 11.199999999999992
cycle: 52; nbPreys: 8; minEnergyPreys: 0.2355816993464052; maxSizePreys: 0.8944999999999997; minAgePrey: 1.7999999999999998; maxAgePrey: 11.399999999999991; nbPredators: 46; minEnergyPredators: 0.11499999999999971; maxSizePredators: 1.0; minAgePredators: 1.4; maxAgePredators: 11.399999999999991
cycle: 53; nbPreys: 8; minEnergyPreys: 0.2715816993464052; maxSizePreys: 0.9414999999999997; minAgePrey: 1.9999999999999998; maxAgePrey: 11.59999999999999; nbPredators: 46; minEnergyPredators: 0.0734999999999997; maxSizePredators: 1.0; minAgePredators: 1.5999999999999999; maxAgePredators: 11.59999999999999
cycle: 54; nbPreys: 15; minEnergyPreys: 0.09247110680548559; maxSizePreys: 0.9879999999999997; minAgePrey: 1.0; maxAgePrey: 11.79999999999999; nbPredators: 46; minEnergyPredators: 0.03149999999999969; maxSizePredators: 1.0; minAgePredators: 1.7999999999999998; maxAgePredators: 11.79999999999999
cycle: 55; nbPreys: 14; minEnergyPreys: 0.11647110680548557; maxSizePreys: 1.0; minAgePrey: 1.2; maxAgePrey: 11.99999999999999; nbPredators: 45; minEnergyPredators: 0.02799999999999974; maxSizePredators: 1.0; minAgePredators: 1.0; maxAgePredators: 11.99999999999999
cycle: 56; nbPreys: 11; minEnergyPreys: 0.13997110680548555; maxSizePreys: 1.0; minAgePrey: 1.4; maxAgePrey: 12.199999999999989; nbPredators: 44; minEnergyPredators: 0.014499999999999666; maxSizePredators: 1.0; minAgePredators: 1.2; maxAgePredators: 12.199999999999989
cycle: 57; nbPreys: 14; minEnergyPreys: 0.16297110680548554; maxSizePreys: 1.0; minAgePrey: 1.0; maxAgePrey: 12.399999999999988; nbPredators: 47; minEnergyPredators: 0.03149999999999969; maxSizePredators: 1.0; minAgePredators: 1.0; maxAgePredators: 12.399999999999988
cycle: 58; nbPreys: 10; minEnergyPreys: 0.21616666666666667; maxSizePreys: 1.0; minAgePrey: 1.2; maxAgePrey: 8.200000000000003; nbPredators: 41; minEnergyPredators: 0.007499999999999965; maxSizePredators: 1.0; minAgePredators: 1.2; maxAgePredators: 12.599999999999987
cycle: 59; nbPreys: 7; minEnergyPreys: 0.26516666666666666; maxSizePreys: 1.0; minAgePrey: 1.4; maxAgePrey: 4.000000000000001; nbPredators: 39; minEnergyPredators: 0.0027500000000000163; maxSizePredators: 1.0; minAgePredators: 1.4; maxAgePredators: 12.799999999999986
cycle: 60; nbPreys: 6; minEnergyPreys: 0.31666666666666676; maxSizePreys: 1.0; minAgePrey: 1.5999999999999999; maxAgePrey: 4.200000000000001; nbPredators: 37; minEnergyPredators: 0.10199999999999984; maxSizePredators: 1.0; minAgePredators: 1.5999999999999999; maxAgePredators: 12.999999999999986
cycle: 61; nbPreys: 6; minEnergyPreys: 0.36616666666666675; maxSizePreys: 1.0; minAgePrey: 1.7999999999999998; maxAgePrey: 4.400000000000001; nbPredators: 37; minEnergyPredators: 0.06599999999999984; maxSizePredators: 1.0; minAgePredators: 1.7999999999999998; maxAgePredators: 13.199999999999985
cycle: 62; nbPreys: 5; minEnergyPreys: 0.4151666666666668; maxSizePreys: 1.0; minAgePrey: 1.9999999999999998; maxAgePrey: 4.600000000000001; nbPredators: 37; minEnergyPredators: 0.029499999999999825; maxSizePredators: 1.0; minAgePredators: 1.9999999999999998; maxAgePredators: 13.399999999999984
cycle: 63; nbPreys: 4; minEnergyPreys: 0.4636666666666668; maxSizePreys: 0.4636666666666668; minAgePrey: 2.1999999999999997; maxAgePrey: 2.1999999999999997; nbPredators: 33; minEnergyPredators: 0.0024999999999998496; maxSizePredators: 1.0; minAgePredators: 2.1999999999999997; maxAgePredators: 13.599999999999984
cycle: 64; nbPreys: 3; minEnergyPreys: 0.5116666666666668; maxSizePreys: 0.5116666666666668; minAgePrey: 2.4; maxAgePrey: 2.4; nbPredators: 32; minEnergyPredators: 0.006166666666666671; maxSizePredators: 1.0; minAgePredators: 2.4; maxAgePredators: 13.799999999999983
cycle: 65; nbPreys: 2; minEnergyPreys: 0.5591666666666668; maxSizePreys: 0.5591666666666668; minAgePrey: 2.6; maxAgePrey: 2.6; nbPredators: 31; minEnergyPredators: 0.0099999999999998; maxSizePredators: 1.0; minAgePredators: 2.6; maxAgePredators: 13.999999999999982
cycle: 40; nbPreys: 0; minEnergyPreys: null; maxSizePreys: null; minAgePrey: null; maxAgePrey: null; nbPredators: 58; minEnergyPredators: 0.0513333333333333; maxSizePredators: 1.0; minAgePredators: 1.2; maxAgePredators: 9.0
cycle: 41; nbPreys: 0; minEnergyPreys: null; maxSizePreys: null; minAgePrey: null; maxAgePrey: null; nbPredators: 58; minEnergyPredators: 0.024833333333333294; maxSizePredators: 1.0; minAgePredators: 1.4; maxAgePredators: 9.2
cycle: 42; nbPreys: 0; minEnergyPreys: null; maxSizePreys: null; minAgePrey: null; maxAgePrey: null; nbPredators: 58; minEnergyPredators: 0.07233333333333337; maxSizePredators: 1.0; minAgePredators: 1.0; maxAgePredators: 9.399999999999999
cycle: 43; nbPreys: 0; minEnergyPreys: null; maxSizePreys: null; minAgePrey: null; maxAgePrey: null; nbPredators: 58; minEnergyPredators: 0.04333333333333336; maxSizePredators: 1.0; minAgePredators: 1.2; maxAgePredators: 9.599999999999998
cycle: 44; nbPreys: 0; minEnergyPreys: null; maxSizePreys: null; minAgePrey: null; maxAgePrey: null; nbPredators: 61; minEnergyPredators: 0.013833333333333354; maxSizePredators: 1.0; minAgePredators: 1.0; maxAgePredators: 9.799999999999997
cycle: 60; nbPreys: 0; minEnergyPreys: null; maxSizePreys: null; minAgePrey: null; maxAgePrey: null; nbPredators: 35; minEnergyPredators: 0.057999999999999684; maxSizePredators: 1.0; minAgePredators: 1.4; maxAgePredators: 12.999999999999986
cycle: 55; nbPreys: 0; minEnergyPreys: null; maxSizePreys: null; minAgePrey: null; maxAgePrey: null; nbPredators: 32; minEnergyPredators: 0.25249999999999984; maxSizePredators: 1.0; minAgePredators: 1.666666666666666; maxAgePredators: 5.58333333333333
cycle: 68; nbPreys: 0; minEnergyPreys: null; maxSizePreys: null; minAgePrey: null; maxAgePrey: null; nbPredators: 42; minEnergyPredators: 0.0414999999999997; maxSizePredators: 1.0; minAgePredators: 1.1666666666666665; maxAgePredators: 6.66666666666666
cycle: 65; nbPreys: 0; minEnergyPreys: null; maxSizePreys: null; minAgePrey: null; maxAgePrey: null; nbPredators: 55; minEnergyPredators: 0.02049999999999995; maxSizePredators: 1.0; minAgePredators: 1.333333333333333; maxAgePredators: 6.416666666666661
cycle: 56; nbPreys: 0; minEnergyPreys: null; maxSizePreys: null; minAgePrey: null; maxAgePrey: null; nbPredators: 44; minEnergyPredators: 0.2851666666666666; maxSizePredators: 1.0; minAgePredators: 1.0833333333333333; maxAgePredators: 5.666666666666663
cycle: 68; nbPreys: 0; minEnergyPreys: null; maxSizePreys: null; minAgePrey: null; maxAgePrey: null; nbPredators: 54; minEnergyPredators: 0.01299999999999972; maxSizePredators: 1.0; minAgePredators: 1.2499999999999998; maxAgePredators: 6.66666666666666
cycle: 69; nbPreys: 0; minEnergyPreys: null; maxSizePreys: null; minAgePrey: null; maxAgePrey: null; nbPredators: 50; minEnergyPredators: 0.0034999999999996007; maxSizePredators: 1.0; minAgePredators: 1.333333333333333; maxAgePredators: 6.749999999999993
cycle: 96; nbPreys: 0; minEnergyPreys: null; maxSizePreys: null; minAgePrey: null; maxAgePrey: null; nbPredators: 22; minEnergyPredators: 0.06599999999999984; maxSizePredators: 1.0; minAgePredators: 1.2499999999999998; maxAgePredators: 8.999999999999995
cycle: 88; nbPreys: 0; minEnergyPreys: null; maxSizePreys: null; minAgePrey: null; maxAgePrey: null; nbPredators: 42; minEnergyPredators: 0.09749999999999956; maxSizePredators: 1.0; minAgePredators: 1.4999999999999996; maxAgePredators: 8.333333333333323
